Month,Posting Date,No Of Trans,Settlement Currency,Settlement Amount,Terminal Capability,Clearing Service,Payment Product,Fee Tier,Region,Fee %,Base,Fee Maximum,Comm. Amt,FPI,Acquirer BIN/ICA,Geographical Location,Fee No.,CardType,Region,Assessments,Service Charge,Total Fees
2/28/15,17/02/2015,1,CAD,1062.5,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2,Domestic - IE,0,EUR 0.1500,0,0.21,  J67,424469,Intra-Country - Ireland,1439710154,Debit,Ireland,0.29,0.68,1.18
2/28/15,15/02/2015,1,CAD,1691.6,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Domestic - IE,1.2,EUR 0.0000,0,20.31,  11L,4441,Intra-Country - Ireland,500007399,Credit,Ireland,1.4,0.68,22.38
2/28/15,10/2/15,1,CAD,133,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2,Domestic - IE,0.75,EUR 0.0000,0,0.99,  08K,424469,Intra-Country - Ireland,7787030154,Credit,Ireland,0.08,0.68,1.75
2/28/15,17/02/2015,2,CAD,1016,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2,Domestic - IE,0.75,EUR 0.0000,0,7.6,  08K,424469,Intra-Country - Ireland,7787030154,Credit,Ireland,0.46,1.35,9.41
2/28/15,10/2/15,1,CAD,1118.7,"""eCommerce""",Clr VISA Int.,Cl - Visa Business,General,Domestic - IE,0.2,EUR 0.0000,0,2.24,  97G,424469,Intra-Country - Ireland,7366032799,Debit,Ireland,0.31,0.68,3.22
2/28/15,5/2/15,2,CAD,2457,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,7.21,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,1.07,1.35,9.63
2/28/15,5/2/15,1,CAD,-1009,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,-2.96,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,-0.4,0.68,-2.69
2/28/15,5/2/15,1,CAD,-150,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,-0.3,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,-0.14,0.68,0.23
2/28/15,6/2/15,1,CAD,545,"""eCommerce""",Clr VISA Int.,Cl-  Visa Infinite,Auth<4/CVV2/CNP,Foreign - EMEA,0.16,EUR 0.0150,0,0.9,  NM8,424469,Sub-Regional - Foreign - EEA,500060083,Debit,Europe,0.16,0.68,1.74
2/28/15,6/2/15,1,CAD,200,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General,Foreign - EEA,1.17,EUR 0.0000,0,2.34,  BJ2,4441,Sub-Regional - Foreign - EEA,3056305499,Credit,Europe,0.3,0.68,3.31
2/28/15,6/2/15,1,CAD,-300,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.16,EUR 0.0150,0,-0.5,  NM8,424469,Sub-Regional - Foreign - EEA,500060079,Debit,Europe,-0.05,0.68,0.13
2/28/15,8/2/15,5,CAD,4390.12,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.16,EUR 0.0150,0,7.13,  NM8,424469,Sub-Regional - Foreign - EEA,500060079,Debit,Europe,1.12,3.38,11.63
2/28/15,8/2/15,7,CAD,5259.43,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,9.74,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,6.65,4.73,21.11
2/28/15,11/2/15,5,CAD,1630.24,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,3.12,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,2.09,3.38,8.59
2/28/15,11/2/15,2,CAD,1040,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign Western,1.2,EUR 0.0000,0,12.49,  A11,4441,Sub-Regional - Foreign Western,1042700699,Credit,Rest,6.85,1.35,20.69
2/28/15,12/2/15,3,CAD,-1677.14,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.16,EUR 0.0150,0,-2.75,  NM8,424469,Sub-Regional - Foreign - EEA,500060079,Debit,Europe,-0.39,2.03,-1.12
2/28/15,13/02/2015,5,CAD,3597.18,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,6.68,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,4.56,3.38,14.61
2/28/15,13/02/2015,2,CAD,3048.98,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.16,EUR 0.0150,0,4.91,  NM8,424469,Sub-Regional - Foreign - EEA,500060079,Debit,Europe,0.79,1.35,7.05
2/28/15,15/02/2015,13,CAD,6558.9,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,19.29,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,2.81,8.78,30.88
2/28/15,16/02/2015,2,CAD,1000,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - NEEA-EEA,0.29,EUR 0.0200,0,2.94,  59W,424469,Sub-Regional - Foreign - NEEA-EEA,500066001,Credit,Europe,0.45,1.35,4.74
2/28/15,16/02/2015,1,CAD,-300,"""eCommerce""",Clr VISA Int.,Cl-  Visa Infinite,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,-0.88,  BU4,424469,Sub-Regional - Foreign - EEA,500047648,Credit,Europe,-0.1,0.68,-0.31
2/28/15,17/02/2015,1,CAD,-574.2,"""eCommerce""",Clr VISA Int.,Cl - Visa Platinum,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,-1.69,  BU4,424469,Sub-Regional - Foreign - EEA,500047631,Credit,Europe,-0.22,0.68,-1.23
2/28/15,17/02/2015,2,CAD,1965.71,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.16,EUR 0.0150,0,3.18,  NM8,424469,Sub-Regional - Foreign - EEA,500060079,Debit,Europe,0.52,1.35,5.05
