Month,Posting Date,No Of Trans,Settlement Currency,Settlement Amount,Terminal Capability,Clearing Service,Payment Product,Fee Tier,Region,Fee %,Base,Fee Maximum,Comm. Amt,FPI,Acquirer BIN/ICA,Geographical Location,Fee No.,CardType,Region,Assessments,Service Charge,Total Fees
2/28/15,10/2/15,4,GBP,292.5,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,5.42,  Y96,4441,Inter-Regional - Foreign - MASTER,5235016799,Credit,Rest,1.96,1.52,8.9
2/28/15,10/2/15,1,GBP,-200,"""eCommerce""",Clr VISA Int.,Cl-  Visa Infinite,General/Prm,Foreign - REST,1.8,USD 0.0000,0,-3.6,  ZT1,499886,Inter-Regional - Foreign - REST,5633025699,Credit,Rest,-0.8,0.38,-4.02
2/28/15,11/2/15,3,GBP,1502,"""eCommerce""",Clr VISA Int.,Cl - Visa Platinum,General/Prm,Foreign - REST,1.8,USD 0.0000,0,27.04,  ZS9,499886,Inter-Regional - Foreign - REST,5631026599,Credit,Rest,6.56,1.14,34.74
2/28/15,11/2/15,2,GBP,-45,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,-0.84,  Y96,4441,Inter-Regional - Foreign - MASTER,5235015499,Credit,Rest,-0.22,0.76,-0.3
2/28/15,12/2/15,7,GBP,4000.5,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,74.01,  Y96,4441,Inter-Regional - Foreign - MASTER,5235015499,Credit,Rest,25.88,2.66,102.55
2/28/15,13/02/2015,2,GBP,1745,"""eCommerce""",Clr VISA Int.,Cl - Visa Business,General,Foreign - REST,2,USD 0.0000,0,34.9,  O68,499886,Inter-Regional - Foreign - REST,9370022799,Credit,Rest,7.61,0.76,43.27
2/28/15,13/02/2015,2,GBP,-300,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/Prm,Foreign - REST,1.8,USD 0.0000,0,-5.4,  17B,499886,Inter-Regional - Foreign - REST,5774116399,Credit,Rest,-1.23,0.76,-5.87
2/28/15,13/02/2015,14,GBP,5251,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/Prm,Foreign - REST,1.8,USD 0.0000,0,94.51,  17B,499886,Inter-Regional - Foreign - REST,5774116399,Credit,Rest,22.77,5.32,122.6
2/28/15,15/02/2015,4,GBP,-900,"""eCommerce""",Clr VISA Int.,Cl - Visa Preferred,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,-17.74,  22B,499886,Inter-Regional - Foreign - REST,5779116999,Credit,Rest,-3.83,1.52,-20.05
2/28/15,16/02/2015,4,GBP,1645,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - MASTER,1.6,USD 0.0000,0,26.32,  E18,4441,Inter-Regional - Foreign - MASTER,9003920699,Credit,Rest,10.68,1.52,38.52
2/28/15,17/02/2015,15,GBP,7562.32,"""eCommerce""",Clr VISA Int.,Cl - Visa Preferred,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,148.97,  22B,499886,Inter-Regional - Foreign - REST,5779116999,Credit,Rest,32.77,5.7,187.44
2/28/15,17/02/2015,1,GBP,740,"""eCommerce""",Clr VISA Int.,Cl - Visa Corporate,General,Foreign - REST,2,USD 0.0000,0,14.8,  O66,499886,Inter-Regional - Foreign - REST,9332022899,Credit,Rest,3.26,0.38,18.44
2/28/15,18/02/2015,4,GBP,1669.65,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - MASTER,1.6,USD 0.0000,0,26.72,  E18,4441,Inter-Regional - Foreign - MASTER,9003926799,Credit,Rest,10.84,1.52,39.08
2/28/15,18/02/2015,1,GBP,-1990,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,-36.82,  Y96,4441,Inter-Regional - Foreign - MASTER,5235016799,Credit,Rest,-12.77,0.38,-49.21
2/28/15,18/02/2015,2,GBP,-2.43,"""eCommerce""",Clr Mastercard Int,Cl - MC Corp/Fleet,General,Foreign - MASTER,2,USD 0.0000,0,-0.05,  E37,4441,Inter-Regional - Foreign - MASTER,9009915599,Credit,Rest,0.06,0.76,0.76
2/28/15,20/02/2015,1,GBP,771.43,"""eCommerce""",Clr VISA Int.,Cl - Visa Platinum,General/Prm,Foreign - REST,1.8,USD 0.0000,0,13.89,  ZS9,499886,Inter-Regional - Foreign - REST,5631026599,Credit,Rest,3.4,0.38,17.67
2/28/15,20/02/2015,11,GBP,6481,"""eCommerce""",Clr VISA Int.,Cl - Visa Preferred,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,127.68,  22B,499886,Inter-Regional - Foreign - REST,5779116999,Credit,Rest,28.09,4.18,159.95
2/28/15,20/02/2015,2,GBP,750,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,14.78,  18B,499886,Inter-Regional - Foreign - REST,5775116399,Credit,Rest,3.31,0.76,18.85
2/28/15,22/02/2015,1,GBP,483.75,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General/SPrm,Foreign - MASTER,1.98,USD 0.0000,0,9.58,  83A,4441,Inter-Regional - Foreign - MASTER,5753115499,Credit,Rest,3.19,0.38,13.15
2/28/15,23/02/2015,5,GBP,4409.25,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - MASTER,1.6,USD 0.0000,0,70.55,  E18,4441,Inter-Regional - Foreign - MASTER,9003926799,Credit,Rest,28.51,1.9,100.96
2/28/15,23/02/2015,4,GBP,2306.5,"""eCommerce""",Clr VISA Int.,Cl-  Visa Infinite,General/Prm,Foreign - REST,1.8,USD 0.0000,0,41.52,  ZT1,499886,Inter-Regional - Foreign - REST,5633025699,Credit,Rest,10.04,1.52,53.08
2/28/15,24/02/2015,1,GBP,217.5,"""eCommerce""",Clr Mastercard Int,Cl-MC PrePaid,General,Foreign - MASTER,1.6,USD 0.0000,0,3.48,  E18,4441,Inter-Regional - Foreign - MASTER,9003923699,Credit,Rest,1.47,0.38,5.33
2/28/15,24/02/2015,1,GBP,2950,"""eCommerce""",Clr VISA Int.,Cl - Visa Business,General,Foreign - REST,2,USD 0.0000,0,59,  O68,499886,Inter-Regional - Foreign - REST,9370022799,Credit,Rest,12.82,0.38,72.2
2/28/15,26/02/2015,20,GBP,9842.04,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,General,Foreign - REST,1.6,USD 0.0000,0,157.45,  O18,499886,Inter-Regional - Foreign - REST,9325210199,Credit,Rest,42.63,7.59,207.67
2/28/15,27/02/2015,4,GBP,1125,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - MASTER,1.6,USD 0.0000,0,18,  E18,4441,Inter-Regional - Foreign - MASTER,9003926799,Credit,Rest,7.33,1.52,26.85
2/28/15,27/02/2015,3,GBP,730,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,13.51,  Y96,4441,Inter-Regional - Foreign - MASTER,5235016799,Credit,Rest,4.78,1.14,19.43
2/28/15,1/2/15,7,GBP,1753.75,"""eCommerce""",Clr VISA Int.,Cl-  Visa Infinite,General/Prm,Foreign - REST,1.8,USD 0.0000,0,31.57,  ZT1,499886,Inter-Regional - Foreign - REST,5633025699,Credit,Rest,7.65,2.66,41.88
2/28/15,1/2/15,4,GBP,1578.5,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General/SPrm,Foreign - MASTER,1.98,USD 0.0000,0,31.26,  83A,4441,Inter-Regional - Foreign - MASTER,5753115499,Credit,Rest,10.25,1.52,43.03
2/28/15,2/2/15,1,GBP,100,"""eCommerce""",Clr VISA Int.,Cl-  Visa Infinite,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,1.97,  19B,499886,Inter-Regional - Foreign - REST,5776115699,Credit,Rest,0.5,0.38,2.85
2/28/15,2/2/15,16,GBP,9275.43,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,171.59,  Y96,4441,Inter-Regional - Foreign - MASTER,5235015499,Credit,Rest,59.91,6.08,237.57
2/28/15,3/2/15,1,GBP,-250,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General/SPrm,Foreign - MASTER,1.98,USD 0.0000,0,-4.95,  83A,4441,Inter-Regional - Foreign - MASTER,5753115499,Credit,Rest,-1.54,0.38,-6.11
2/28/15,3/2/15,3,GBP,-670,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,General,Foreign - REST,1.6,USD 0.0000,0,-10.72,  O18,499886,Inter-Regional - Foreign - REST,9325210199,Credit,Rest,-2.83,1.14,-12.42
2/28/15,3/2/15,9,GBP,5987.3,"""eCommerce""",Clr VISA Int.,Cl - Visa Preferred,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,117.96,  22B,499886,Inter-Regional - Foreign - REST,5779116999,Credit,Rest,25.96,3.42,147.34
2/28/15,4/2/15,7,GBP,1999.56,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/Prm,Foreign - REST,1.8,USD 0.0000,0,36,  17B,499886,Inter-Regional - Foreign - REST,5774116399,Credit,Rest,8.71,2.66,47.37
2/28/15,5/2/15,2,GBP,2307.14,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,45.45,  18B,499886,Inter-Regional - Foreign - REST,5775116399,Credit,Rest,10.04,0.76,56.25
2/28/15,5/2/15,3,GBP,3321.43,"""eCommerce""",Clr Mastercard Int,Cl - MC Corp/Bus,General,Foreign - MASTER,2,USD 0.0000,0,66.43,  E38,4441,Inter-Regional - Foreign - MASTER,9007933199,Credit,Rest,21.5,1.14,89.07
2/28/15,5/2/15,6,GBP,-4482.57,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,General,Foreign - REST,1.6,USD 0.0000,0,-71.72,  O18,499886,Inter-Regional - Foreign - REST,9325210199,Credit,Rest,-19.32,2.28,-88.77
2/28/15,8/2/15,5,GBP,6815.6,"""eCommerce""",Clr Mastercard Int,Cl - MC Corp/Bus,General,Foreign - MASTER,2,USD 0.0000,0,136.32,  E38,4441,Inter-Regional - Foreign - MASTER,9007933199,Credit,Rest,44.04,1.9,182.26
2/28/15,10/2/15,3,GBP,-450,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/Prm,Foreign - REST,1.8,USD 0.0000,0,-8.1,  17B,499886,Inter-Regional - Foreign - REST,5774116399,Credit,Rest,-1.88,1.14,-8.84
2/28/15,9/2/15,4,GBP,2277.5,"""eCommerce""",Clr VISA Int.,Cl-  Visa Infinite,General/Prm,Foreign - REST,1.8,USD 0.0000,0,41,  ZT1,499886,Inter-Regional - Foreign - REST,5633025699,Credit,Rest,9.91,1.52,52.43
2/28/15,12/2/15,1,GBP,250,"""eCommerce""",Clr Mastercard Int,Cl - MC Corp/Bus,General,Foreign - MASTER,2,USD 0.0000,0,5,  E38,4441,Inter-Regional - Foreign - MASTER,9007933199,Credit,Rest,1.68,0.38,7.06
2/28/15,13/02/2015,1,GBP,-90,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - MASTER,1.6,USD 0.0000,0,-1.44,  E18,4441,Inter-Regional - Foreign - MASTER,9003920699,Credit,Rest,-0.51,0.38,-1.57
2/28/15,13/02/2015,2,GBP,-685,"""eCommerce""",Clr VISA Int.,Cl - Visa Business,General,Foreign - REST,2,USD 0.0000,0,-13.7,  O68,499886,Inter-Regional - Foreign - REST,9370022799,Credit,Rest,-2.9,0.76,-15.84
2/28/15,15/02/2015,3,GBP,1579.5,"""eCommerce""",Clr VISA Int.,Cl - Visa Business,General,Foreign - REST,2,USD 0.0000,0,31.59,  O68,499886,Inter-Regional - Foreign - REST,9370022799,Credit,Rest,6.89,1.14,39.62
2/28/15,15/02/2015,1,GBP,711,"""eCommerce""",Clr Mastercard Int,Cl-MC PrePaid,General,Foreign - MASTER,1.6,USD 0.0000,0,11.38,  E18,4441,Inter-Regional - Foreign - MASTER,9003923699,Credit,Rest,4.66,0.38,16.42
2/28/15,15/02/2015,2,GBP,-382.2,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - MASTER,1.6,USD 0.0000,0,-6.12,  E18,4441,Inter-Regional - Foreign - MASTER,9003926799,Credit,Rest,-2.39,0.76,-7.76
2/28/15,16/02/2015,1,GBP,-499,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/Prm,Foreign - REST,1.8,USD 0.0000,0,-8.98,  17B,499886,Inter-Regional - Foreign - REST,5774116399,Credit,Rest,-2.09,0.38,-10.7
2/28/15,16/02/2015,25,GBP,13395.63,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,General,Foreign - REST,1.6,USD 0.0000,0,214.33,  O18,499886,Inter-Regional - Foreign - REST,9325210199,Credit,Rest,58,9.49,281.82
2/28/15,16/02/2015,1,GBP,174.8,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,3.23,  Y96,4441,Inter-Regional - Foreign - MASTER,5235016799,Credit,Rest,1.2,0.38,4.81
2/28/15,17/02/2015,2,GBP,-1920.77,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,General,Foreign - REST,1.6,USD 0.0000,0,-30.73,  O18,499886,Inter-Regional - Foreign - REST,9325210199,Credit,Rest,-8.24,0.76,-38.21
2/28/15,17/02/2015,1,GBP,-300,"""eCommerce""",Clr VISA Int.,Cl - Visa Preferred,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,-5.91,  22B,499886,Inter-Regional - Foreign - REST,5779116999,Credit,Rest,-1.23,0.38,-6.76
2/28/15,17/02/2015,3,GBP,-1430,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/Prm,Foreign - REST,1.8,USD 0.0000,0,-25.74,  17B,499886,Inter-Regional - Foreign - REST,5774116399,Credit,Rest,-6.12,1.14,-30.72
2/28/15,18/02/2015,6,GBP,4358.14,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,80.63,  Y96,4441,Inter-Regional - Foreign - MASTER,5235015499,Credit,Rest,28.19,2.28,111.09
2/28/15,18/02/2015,4,GBP,2867.25,"""eCommerce""",Clr VISA Int.,Cl-  Visa Infinite,General/Prm,Foreign - REST,1.8,USD 0.0000,0,51.61,  ZT1,499886,Inter-Regional - Foreign - REST,5633025699,Credit,Rest,12.46,1.52,65.59
2/28/15,18/02/2015,8,GBP,2882.13,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - MASTER,1.6,USD 0.0000,0,46.11,  E18,4441,Inter-Regional - Foreign - MASTER,9003920699,Credit,Rest,18.66,3.04,67.81
2/28/15,19/02/2015,3,GBP,-1311.43,"""eCommerce""",Clr VISA Int.,Cl - Visa Business,General,Foreign - REST,2,USD 0.0000,0,-26.23,  O68,499886,Inter-Regional - Foreign - REST,9370022799,Credit,Rest,-5.61,1.14,-30.7
2/28/15,19/02/2015,5,GBP,2175.71,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - MASTER,1.6,USD 0.0000,0,34.81,  E18,4441,Inter-Regional - Foreign - MASTER,9003926799,Credit,Rest,14.11,1.9,50.81
2/28/15,19/02/2015,2,GBP,830,"""eCommerce""",Clr VISA Int.,Cl-  Visa Infinite,General/Prm,Foreign - REST,1.8,USD 0.0000,0,14.94,  ZT1,499886,Inter-Regional - Foreign - REST,5633025699,Credit,Rest,3.65,0.76,19.35
2/28/15,20/02/2015,1,GBP,172.5,"""eCommerce""",Clr VISA Int.,Cl - Visa Business,General,Foreign - REST,2,USD 0.0000,0,3.45,  O68,499886,Inter-Regional - Foreign - REST,9370022799,Credit,Rest,0.81,0.38,4.64
2/28/15,20/02/2015,22,GBP,6806.44,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,General,Foreign - REST,1.6,USD 0.0000,0,108.93,  O18,499886,Inter-Regional - Foreign - REST,9325210199,Credit,Rest,29.5,8.35,146.78
2/28/15,20/02/2015,1,GBP,550,"""eCommerce""",Clr Mastercard Int,Cl - MC Bus W Elite,General/Prm,Foreign - MASTER,2,USD 0.0000,0,11,  Y97,4441,Inter-Regional - Foreign - MASTER,5236017199,Credit,Rest,3.62,0.38,15
2/28/15,22/02/2015,2,GBP,130,"""eCommerce""",Clr Mastercard Int,Cl - MC Corp/Bus,General,Foreign - MASTER,2,USD 0.0000,0,2.6,  E38,4441,Inter-Regional - Foreign - MASTER,9007933199,Credit,Rest,0.91,0.76,4.27
2/28/15,22/02/2015,11,GBP,4984.57,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - MASTER,1.6,USD 0.0000,0,79.76,  E18,4441,Inter-Regional - Foreign - MASTER,9003920699,Credit,Rest,32.23,4.18,116.16
2/28/15,22/02/2015,24,GBP,9860.91,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/Prm,Foreign - REST,1.8,USD 0.0000,0,177.51,  17B,499886,Inter-Regional - Foreign - REST,5774116399,Credit,Rest,42.71,9.11,229.33
2/28/15,22/02/2015,4,GBP,2262.5,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,41.86,  Y96,4441,Inter-Regional - Foreign - MASTER,5235016799,Credit,Rest,14.67,1.52,58.05
2/28/15,22/02/2015,1,GBP,-200,"""eCommerce""",Clr Mastercard Int,Cl - MC World Elite,General/SPrm,Foreign - MASTER,1.98,USD 0.0000,0,-3.96,  83A,4441,Inter-Regional - Foreign - MASTER,5753206899,Credit,Rest,-1.22,0.38,-4.8
2/28/15,23/02/2015,1,GBP,315,"""eCommerce""",Clr VISA Int.,Cl - Visa Business,General,Foreign - REST,2,USD 0.0000,0,6.3,  O68,499886,Inter-Regional - Foreign - REST,9370022799,Credit,Rest,1.43,0.38,8.11
2/28/15,24/02/2015,1,GBP,-100,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General/SPrm,Foreign - MASTER,1.98,USD 0.0000,0,-1.98,  83A,4441,Inter-Regional - Foreign - MASTER,5753115499,Credit,Rest,-0.57,0.38,-2.17
2/28/15,24/02/2015,1,GBP,-476,"""eCommerce""",Clr VISA Int.,Cl - Visa Business,General,Foreign - REST,2,USD 0.0000,0,-9.52,  O68,499886,Inter-Regional - Foreign - REST,9370022799,Credit,Rest,-2,0.38,-11.14
2/28/15,25/02/2015,2,GBP,1332,"""eCommerce""",Clr Mastercard Int,Cl - MC Corp/Fleet,General,Foreign - MASTER,2,USD 0.0000,0,26.64,  E37,4441,Inter-Regional - Foreign - MASTER,9009915599,Credit,Rest,8.66,0.76,36.06
2/28/15,26/02/2015,4,GBP,1390,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,25.72,  Y96,4441,Inter-Regional - Foreign - MASTER,5235016799,Credit,Rest,9.04,1.52,36.28
2/28/15,26/02/2015,5,GBP,1586.5,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - MASTER,1.6,USD 0.0000,0,25.39,  E18,4441,Inter-Regional - Foreign - MASTER,9003926799,Credit,Rest,10.31,1.9,37.59
2/28/15,26/02/2015,3,GBP,2130,"""eCommerce""",Clr VISA Int.,Cl - Visa Business,General,Foreign - REST,2,USD 0.0000,0,42.6,  O68,499886,Inter-Regional - Foreign - REST,9370022799,Credit,Rest,9.28,1.14,53.01
2/28/15,26/02/2015,6,GBP,-1990,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,General,Foreign - REST,1.6,USD 0.0000,0,-31.84,  O18,499886,Inter-Regional - Foreign - REST,9325210199,Credit,Rest,-8.54,2.28,-38.11
2/28/15,26/02/2015,1,GBP,-350,"""eCommerce""",Clr Mastercard Int,Cl - MC World Elite,General/SPrm,Foreign - MASTER,1.98,USD 0.0000,0,-6.93,  83A,4441,Inter-Regional - Foreign - MASTER,5753206899,Credit,Rest,-2.19,0.38,-8.74
2/28/15,26/02/2015,1,GBP,-300,"""eCommerce""",Clr VISA Int.,Cl - Visa Business,General,Foreign - REST,2,USD 0.0000,0,-6,  O68,499886,Inter-Regional - Foreign - REST,9370022799,Credit,Rest,-1.23,0.38,-6.85
2/28/15,26/02/2015,18,GBP,8430.21,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/Prm,Foreign - REST,1.8,USD 0.0000,0,151.74,  17B,499886,Inter-Regional - Foreign - REST,5774116399,Credit,Rest,36.52,6.83,195.1
2/28/15,26/02/2015,1,GBP,-492.52,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - MASTER,1.6,USD 0.0000,0,-7.88,  E18,4441,Inter-Regional - Foreign - MASTER,9003920699,Credit,Rest,-3.11,0.38,-10.61
2/28/15,27/02/2015,2,GBP,-1281.42,"""eCommerce""",Clr VISA Int.,Cl - Visa Preferred,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,-25.24,  22B,499886,Inter-Regional - Foreign - REST,5779116999,Credit,Rest,-5.48,0.76,-29.96
2/28/15,1/2/15,8,GBP,6787.72,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,125.58,  Y96,4441,Inter-Regional - Foreign - MASTER,5235015499,Credit,Rest,43.86,3.04,172.48
2/28/15,1/2/15,4,GBP,2640,"""eCommerce""",Clr VISA Int.,Cl - Visa Platinum,General/Prm,Foreign - REST,1.8,USD 0.0000,0,47.52,  ZS9,499886,Inter-Regional - Foreign - REST,5631026599,Credit,Rest,11.48,1.52,60.52
2/28/15,1/2/15,2,GBP,-350,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/Prm,Foreign - REST,1.8,USD 0.0000,0,-6.3,  17B,499886,Inter-Regional - Foreign - REST,5774116399,Credit,Rest,-1.45,0.76,-6.99
2/28/15,2/2/15,21,GBP,10500.71,"""eCommerce""",Clr VISA Int.,Cl - Visa Preferred,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,206.87,  22B,499886,Inter-Regional - Foreign - REST,5779116999,Credit,Rest,45.48,7.97,260.32
2/28/15,2/2/15,4,GBP,4735,"""eCommerce""",Clr VISA Int.,Cl - Visa Platinum,General/Prm,Foreign - REST,1.8,USD 0.0000,0,85.23,  ZS9,499886,Inter-Regional - Foreign - REST,5631026599,Credit,Rest,20.54,1.52,107.29
2/28/15,2/2/15,2,GBP,478.69,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General/SPrm,Foreign - MASTER,1.98,USD 0.0000,0,9.48,  83A,4441,Inter-Regional - Foreign - MASTER,5753115499,Credit,Rest,3.16,0.76,13.4
2/28/15,3/2/15,11,GBP,8380.15,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - MASTER,1.6,USD 0.0000,0,134.08,  E18,4441,Inter-Regional - Foreign - MASTER,9003926799,Credit,Rest,54.13,4.18,192.39
2/28/15,3/2/15,3,GBP,4502.5,"""eCommerce""",Clr VISA Int.,Cl-  Visa Infinite,General/Prm,Foreign - REST,1.8,USD 0.0000,0,81.05,  ZT1,499886,Inter-Regional - Foreign - REST,5633025699,Credit,Rest,19.54,1.14,101.73
2/28/15,3/2/15,1,GBP,62.5,"""eCommerce""",Clr VISA Int.,Cl-Visa Signatur Bus,General,Foreign - REST,2,USD 0.0000,0,1.25,  O68,499886,Inter-Regional - Foreign - REST,500019030,Credit,Rest,0.33,0.38,1.96
2/28/15,4/2/15,15,GBP,14480.86,"""eCommerce""",Clr VISA Int.,Cl - Visa Preferred,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,285.29,  22B,499886,Inter-Regional - Foreign - REST,5779116999,Credit,Rest,62.69,5.7,353.68
2/28/15,4/2/15,1,GBP,183,"""eCommerce""",Clr Mastercard Int,Cl - MC World Elite,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,3.39,  Y96,4441,Inter-Regional - Foreign - MASTER,5235016899,Credit,Rest,1.25,0.38,5.02
2/28/15,5/2/15,1,GBP,1200,"""eCommerce""",Clr VISA Int.,Cl - Visa Inf Pv Con,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,23.64,  19B,499886,Inter-Regional - Foreign - REST,500028124,Credit,Rest,5.25,0.38,29.27
2/28/15,5/2/15,2,GBP,-650,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - MASTER,1.6,USD 0.0000,0,-10.4,  E18,4441,Inter-Regional - Foreign - MASTER,9003926799,Credit,Rest,-4.12,0.76,-13.76
2/28/15,6/2/15,19,GBP,8173.22,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/Prm,Foreign - REST,1.8,USD 0.0000,0,147.12,  17B,499886,Inter-Regional - Foreign - REST,5774116399,Credit,Rest,35.41,7.21,189.75
2/28/15,6/2/15,1,GBP,-2555.15,"""eCommerce""",Clr VISA Int.,Cl - Visa Business,General,Foreign - REST,2,USD 0.0000,0,-51.1,  O68,499886,Inter-Regional - Foreign - REST,9370022799,Credit,Rest,-10.99,0.38,-61.71
2/28/15,8/2/15,19,GBP,10592.83,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - MASTER,1.6,USD 0.0000,0,169.47,  E18,4441,Inter-Regional - Foreign - MASTER,9003926799,Credit,Rest,68.41,7.21,245.09
2/28/15,8/2/15,1,GBP,-375,"""eCommerce""",Clr VISA Int.,Cl-  Visa Infinite,General/Prm,Foreign - REST,1.8,USD 0.0000,0,-6.75,  ZT1,499886,Inter-Regional - Foreign - REST,5633025699,Credit,Rest,-1.56,0.38,-7.93
2/28/15,8/2/15,10,GBP,3197,"""eCommerce""",Clr VISA Int.,Cl-  Visa Infinite,General/Prm,Foreign - REST,1.8,USD 0.0000,0,57.55,  ZT1,499886,Inter-Regional - Foreign - REST,5633025699,Credit,Rest,13.89,3.8,75.24
2/28/15,9/2/15,11,GBP,12077.06,"""eCommerce""",Clr VISA Int.,Cl - Visa Preferred,General/SPrm,Foreign - REST,1.97,USD 0.0000,0,237.92,  22B,499886,Inter-Regional - Foreign - REST,5779116999,Credit,Rest,52.3,4.18,294.39
2/28/15,10/2/15,15,GBP,8143.25,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,150.67,  Y96,4441,Inter-Regional - Foreign - MASTER,5235015499,Credit,Rest,52.6,5.7,208.97
2/28/15,10/2/15,1,GBP,-150,"""eCommerce""",Clr Mastercard Int,Cl - MC Signia,General/SPrm,Foreign - MASTER,1.98,USD 0.0000,0,-2.97,  83A,4441,Inter-Regional - Foreign - MASTER,5753115499,Credit,Rest,-0.9,0.38,-3.49
2/28/15,9/2/15,9,GBP,3665,"""eCommerce""",Clr Mastercard Int,Cl - MC Platinum,General,Foreign - MASTER,1.6,USD 0.0000,0,58.63,  E18,4441,Inter-Regional - Foreign - MASTER,9003926799,Credit,Rest,23.71,3.42,85.76
2/28/15,9/2/15,1,GBP,705,"""eCommerce""",Clr Mastercard Int,Cl - MC World Elite,General/Prm,Foreign - MASTER,1.85,USD 0.0000,0,13.04,  Y96,4441,Inter-Regional - Foreign - MASTER,5235016899,Credit,Rest,4.62,0.38,18.04
2/28/15,9/2/15,15,GBP,9251.93,"""eCommerce""",Clr VISA Int.,Cl - Visa Signature,General/Prm,Foreign - REST,1.8,USD 0.0000,0,166.54,  17B,499886,Inter-Regional - Foreign - REST,5774116399,Credit,Rest,40.08,5.7,212.31
